daysOnMarket,availableFrom,street,price,borough,zip,propertyType,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio
6.0,2024-11-20,1053 Revere Avenue #2,3300.0,Bronx,10465,rental,3,1.0,40.83176216,-73.82872276,1,6,16168.0,85946.0,38332.0,16168.0,1680.0,587400.0,16168.0,849.0,258.0,1884.0,45,34,0,1.2646528020729784,38,0.0008183800824858,0.4865798622357539,0.5134201377642461,0.4782880957008054,0.1553194705361577,0.0493619226533652,0.4678802012480836,0.132214808576796,0.446848480922459,0.0336637084062101,0.1498132193215434,0.1216557621299475,0.0065427220314828,0.1904731057416164,0.1666126838116214,0.022953509965235
13.0,2024-11-13,1075 Edison Avenue #3A,1849.0,Bronx,10465,rental,1,1.0,40.83334857,-73.82685763,1,4,16168.0,85946.0,38332.0,16168.0,1680.0,587400.0,16168.0,849.0,258.0,1884.0,45,34,0,1.2646528020729784,38,0.0008183800824858,0.4865798622357539,0.5134201377642461,0.4782880957008054,0.1553194705361577,0.0493619226533652,0.4678802012480836,0.132214808576796,0.446848480922459,0.0336637084062101,0.1498132193215434,0.1216557621299475,0.0065427220314828,0.1904731057416164,0.1666126838116214,0.022953509965235
32.0,2024-10-25,271 Balcom Avenue #2A,3500.0,Bronx,10465,rental,3,1.0,40.81597437,-73.82316725,1,2,16168.0,85946.0,38332.0,16168.0,1680.0,587400.0,16168.0,849.0,258.0,1884.0,45,34,0,1.2646528020729784,38,0.0008183800824858,0.4865798622357539,0.5134201377642461,0.4782880957008054,0.1553194705361577,0.0493619226533652,0.4678802012480836,0.132214808576796,0.446848480922459,0.0336637084062101,0.1498132193215434,0.1216557621299475,0.0065427220314828,0.1904731057416164,0.1666126838116214,0.022953509965235
0.0,2024-11-26,1721 Hobart Avenue #3G,1800.0,Bronx,10461,rental,1,1.0,40.84622463,-73.8309662,1,4,18807.0,64444.0,33046.0,18807.0,1675.0,626700.0,18807.0,1240.0,32.0,1736.0,45,34,3,1.2646528020729784,38,0.0007430997876857,0.4705119131870724,0.5294880868129276,0.4142879609970905,0.0988637257214751,0.1306518833058111,0.4974050483604624,0.1638358103326256,0.4581662341747267,0.0408311708736337,0.1642289848234646,0.1192498230714791,0.0103994652826924,0.1654674844696076,0.1816269560430919,0.0267751828261382
6.0,2024-10-30,3015 Roberts Avenue #5F,1825.0,Bronx,10461,rental,1,1.0,40.84573286,-73.83064577,1,9,18807.0,64444.0,33046.0,18807.0,1675.0,626700.0,18807.0,1240.0,32.0,1736.0,45,34,3,1.2646528020729784,38,0.0007430997876857,0.4705119131870724,0.5294880868129276,0.4142879609970905,0.0988637257214751,0.1306518833058111,0.4974050483604624,0.1638358103326256,0.4581662341747267,0.0408311708736337,0.1642289848234646,0.1192498230714791,0.0103994652826924,0.1654674844696076,0.1816269560430919,0.0267751828261382
4.0,2024-11-22,779 Hicks Street #2,3300.0,Brooklyn,11231,rental,3,1.0,40.67621343,-74.00469113,1,6,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
14.0,2024-11-12,50 Dikeman Street #3,3150.0,Brooklyn,11231,rental,2,1.0,40.67563317,-74.01142107,1,6,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
24.0,2024-11-15,338 Hamilton Avenue #2,3500.0,Brooklyn,11231,rental,3,1.0,40.6746017,-74.00081114,1,17,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,3,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
25.0,2024-11-01,694 Hicks Street #1,5995.0,Brooklyn,11231,house,2,2.0,40.67861998,-74.00411725,1,5,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
25.0,2024-10-23,96 King Street #1,15000.0,Brooklyn,11231,condo,3,2.0,40.67773028,-74.01034346,1,16,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
