daysOnMarket,availableFrom,price,zip,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,propertyType_condo,propertyType_coop,propertyType_house,propertyType_rental,propertyType_townhouse,street_number,year_available,month_available,day_available
27.0,2024-11-15,2518.0,10456,2,1.0,40.83231,-73.91792,0,5,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,6,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1125.0,2024,11,15
1.0,2024-11-15,2800.0,10459,3,1.0,40.830975,-73.89901,0,8,17805.0,41270.0,22140.0,17805.0,1292.0,570600.0,17805.0,707.0,19.0,1323.0,42,69,0,1.6195910361990216,58,0.0006331306288969,0.4929951504887999,0.5070048495112001,0.1078631360172427,0.3406589177122623,0.0029635901778154,0.6733507813101378,0.3032676468324224,0.3988338080209376,0.064544684781772,0.1338811484874143,0.0640828265722423,0.0008659841428681,0.2074513124470787,0.1263567084904934,0.0286544530829035,0,0,0,0,0,0,0,0,0,1285.0,2024,11,15
3.0,2024-11-15,3300.0,10456,3,1.0,40.83421,-73.91253,0,0,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,0,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,3.0,2024,11,15
1.0,2024-11-15,2095.0,10456,1,1.0,40.83263,-73.914825,0,0,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,3,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1175.0,2024,11,15
12.0,2024-11-15,2700.0,10456,1,1.0,40.834465,-73.89834,0,7,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,42,69,0,1.6195910361990216,58,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,1,652.0,2024,11,15
12.0,2024-11-15,2525.0,10456,0,1.0,40.834427,-73.91169,0,6,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,0,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1269.0,2024,11,15
2.0,2024-11-15,2800.0,10456,3,1.0,40.821285,-73.90636,0,9,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,40,72,3,2.4098680191677895,71,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,844.0,2024,11,15
24.0,2024-11-15,2550.0,10456,0,1.0,40.833305,-73.912346,0,3,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,0,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1225.0,2024,11,15
33.0,2024-11-15,3599.0,10456,3,2.0,40.832767,-73.91306,0,8,32370.0,33317.0,18351.0,32370.0,1163.0,403600.0,32370.0,771.0,41.0,1168.0,44,63,3,2.4848999780528325,72,0.0003793395427603,0.4539316963025684,0.5460683036974315,0.1289980242732148,0.4685182049110923,0.0070787468247248,0.5633079311318092,0.3565227208580299,0.3554727631950324,0.0612249506068303,0.1422523285351397,0.0580299181484617,0.000203217612193,0.1891278577476714,0.1262432966412644,0.0216878351679367,0,0,0,0,0,0,0,0,0,1208.0,2024,11,15
24.0,2024-11-15,2550.0,10459,0,1.0,40.828945,-73.89868,0,3,17805.0,41270.0,22140.0,17805.0,1292.0,570600.0,17805.0,707.0,19.0,1323.0,42,69,0,1.6195910361990216,58,0.0006331306288969,0.4929951504887999,0.5070048495112001,0.1078631360172427,0.3406589177122623,0.0029635901778154,0.6733507813101378,0.3032676468324224,0.3988338080209376,0.064544684781772,0.1338811484874143,0.0640828265722423,0.0008659841428681,0.2074513124470787,0.1263567084904934,0.0286544530829035,0,0,0,0,0,0,0,0,0,813.0,2024,11,15
